property,sentence
0,Tables 2.2-2.5 list the CSRs that have currently been allocated CSR addresses.
0,"The timers, counters, and floating-point CSRs are standard user-level CSRs, as well as the additional user trap registers added by the N extension."
0,"The other registers are used by privileged code, as described in the following chapters."
0,Note that not all registers are required on all implementations.
0,"Physical memory protection configuration, RV32 only."
0,Physical memory protection configuration.
0,"Physical memory protection configuration, RV32 only."
0,Physical memory protection address register.
0,Machine performance-monitoring counter.
0,"Upper 32 bits of mcycle, RV32I only."
0,"Upper 32 bits of minstret, RV32I only."
0,"Upper 32 bits of mhpmcounter3, RV32I only."
0,"Upper 32 bits of mhpmcounter4, RV32I only."
0,The following definitions and abbreviations are used in specifying the behavior of fields within the CSRs.
1,Some read-only and read/write registers have read-only fields reserved for future use.
1,These reserved read-only fields should be ignored on a read.
1,"Writes to these fields have no effect, unless the whole CSR is read-only, in which case writes might raise an illegal instruction exception."
1,These fields are labeled WIRI in the register descriptions.
1,Some whole read/write fields are reserved for future use.
1,"Software should ignore the values read from these fields, and should preserve the values held in these fields when writing values to other fields of the same register."
1,These fields are labeled WPRI in the register descriptions.
1,"To simplify the software model, any backward-compatible future definition of previously reserved fields within a CSR must cope with the possibility that a non-atomic read/modify/write sequence is used to update other fields in the CSR."
1,"Alternatively, the original CSR definition must specify that subfields can only be updated atomically, which may require a two-instruction clear bit/set bit sequence in general that can be problematic if intermediate values are not legal."
1,"Some read/write CSR fields specify behavior for only a subset of possible bit encodings, with other bit encodings reserved."
1,"Software should not write anything other than legal values to such a field, and should not assume a read will return a legal value unless the last write was of a legal value, or the register has not been written since another operation (e.g., reset) set the register to a legal value."
1,These fields are labeled WLRL in the register descriptions.
1,"Hardware implementations need only implement enough state bits to differentiate between the supported values, but must always return the complete specified bit-encoding of any supported value when read."
1,Implementations are permitted but not required to raise an illegal instruction exception if an instruction attempts to write a non-supported value to a CSR field.
1,"Hardware implementations can return arbitrary bit patterns on the read of a CSR field when the last write was of an illegal value, but the value returned should deterministically depend on the previous written value."
1,"Some read/write CSR fields are only defined for a subset of bit encodings, but allow any value to be written while guaranteeing to return a legal value whenever read."
1,"Assuming that writing the CSR has no other side effects, the range of supported values can be determined by attempting to write a desired setting then reading to see if the value was retained."
1,These fields are labeled WARL in the register descriptions.
1,Implementations will not raise an exception on writes of unsupported values to an WARL field.
1,Implementations must always deterministically return the same legal value after a given illegal value is written.
0,"This chapter describes the machine-level operations available in machine-mode (M-mode), which is the highest privilege mode in a RISC-V system."
0,M-mode is the only mandatory privilege mode in a RISC-V hardware implementation.
0,M-mode is used for low-level access to a hardware platform and is the first mode entered at reset.
0,M-mode can also be used to implement features that are too difficult or expensive to implement in hardware directly.
0,The RISC-V machine-level ISA contains a common core that is extended depending on which other privilege levels are supported and other details of the hardware implementation.
1,"In addition to the machine-level CSRs described in this section, M-mode code can access all CSRs at lower privilege levels."
1,The misa CSR is an XLEN-bit WARL read-write register reporting the ISA supported by the hart.
1,"This register must be readable in any implementation, but a value of zero can be returned to indicate the misa register has not been implemented, requiring that CPU capabilities be determined through a separate non-standard mechanism."
0,The MXL (Machine XLEN) field encodes the native base integer ISA width as shown in Table 3.1.
0,The MXL field may be writable in implementations that support multiple base ISA widths.
1,"The effective XLEN in M-mode, M-XLEN, is given by the setting of MXL, or has a fixed value if misa is zero."
1,The MXL field is always set to the widest supported ISA variant at reset.
0,"The base width can be quickly ascertained using branches on the sign of the returned misa value, and possibly a shift left by one and a second branch on the sign."
0,These checks can be written in assembly code without knowing the register width (XLEN) of the machine.
0,The base width is then shifting the register left by 31 bits at a time.
0,"If zero after one shift, then the machine is RV32."
0,"If zero after two shifts, then the machine is RV64, else RV128."
1,"When MXL is set to a value less than the widest supported XLEN, all operations must ignore source operand register bits above the configured XLEN, and must sign-extend results to fill the entire widest supported XLEN in the destination register."
1,We require that operations always fill the entire underlying hardware registers with defined values to avoid implementation-defined behavior.
1,"The Extensions field encodes the presence of the standard extensions, with a single bit per letter of the alphabet (bit 0 encodes presence of extension A , bit 1 encodes presence of extension B, through to bit 25 which encodes Z)."
1,"The I bit will be set for RV32I, RV64I, RV128I base ISAs, and the E bit will be set for RV32E."
1,The Extension is a WARL field that can contain writable bits where the implementation allows the supported ISA to be modified.
1,"At reset, the Extension field should contain the maximal set of supported extensions, and I should be selected over E if both are available."
1,The G bit is used as an escape to allow expansion to a larger space of standard extension names.
1,reserve the bit to indicate that additional standard extensions are present.
1,The U and S bits will be set if there is support for user and supervisor modes respectively.
1,The X bit will be set if there are any non-standard extensions.
0,The misa CSR exposes a rudimentary catalog of CPU features to machine-mode code.
0,"More extensive information can be obtained in machine mode by probing other machine registers, and examining other ROM storage in the system as part of the boot process."
0, We require that lower privilege levels execute environment calls instead of reading CPU registers to determine features available at each privilege level.
0,"This enables virtualization layers to alter the ISA observed at any level, and supports a much richer command interface without burdening hardware designs."
0,Table 3.2: Encoding of Extensions field in misa.
1,All bits that are reserved for future use must return zero when read.
0,The mvendorid CSR is an XLEN-bit read-only register providing the JEDEC manufacturer ID of the provider of the core.
1,"This register must be readable in any implementation, but a value of 0 can be returned to indicate the field is not implemented or that this is a non-commercial implementation."
0,"JEDEC manufacturer IDs are ordinarily encoded as a sequence of one-byte continuation codes 0x7f, terminated by a one-byte ID not equal to 0x7f, with an odd parity bit in the most-significant bit of each byte."
0,"mvendorid encodes the number of one-byte continuation codes in the Bank field, and encodes the final byte in the Offset field, discarding the parity bit."
0,"For example, the JEDEC manufacturer ID 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x7f 0x8a (twelve continuation codes followed by 0x8a) would be encoded in the mvendorid field as 0x60a."
0,"Previously the vendor ID was to be a number allocated by the RISC-V Foundation, but this duplicates the work of JEDEC in maintaining a manufacturer ID standard."
0,"At time of writing, registering a manufacturer ID with JEDEC has a one-time cost of $500."
1,The marchid CSR is an XLEN-bit read-only register encoding the base microarchitecture of the hart.
1,"This register must be readable in any implementation, but a value of 0 can be returned to indicate the field is not implemented."
1,The combination of mvendorid and marchid should uniquely identify the type of hart microarchitecture that is implemented.
0,"Open-source project architecture IDs are allocated globally by the RISC-V Foundation, and have non-zero architecture IDs with a zero most-significant-bit (MSB)."
1,"Commercial architecture IDs are allocated by each commercial vendor independently, but must have the MSB set and cannot contain zero in the remaining XLEN-1 bits."
0,The intent is for the architecture ID to represent the microarchitecture associated with the repo around which development occurs rather than a particular organization.
0,Commercial fabrications of open-source designs should (and might be required by the license to) retain the original architecture ID.
0,"This will aid in reducing fragmentation and tool support costs, as well as provide attribution."
0,"Open-source architecture IDs should be administered by the Foundation and should only be allocated to released, functioning open-source projects."
0,Commercial architecture IDs can be managed independently by any registered vendor but are required to have IDs disjoint from the open-source architecture IDs (MSB set) to prevent collisions if a vendor wishes to use both closed-source and open-source microarchitectures.
0," The convention adopted within the following Implementation field can be used to segregate branches of the same architecture design, including by organization."
0,"The misa register also helps distinguish different variants of a design, as does the configuration string if present."
1,The mimpid CSR provides a unique encoding of the version of the processor implementation.
1,"This register must be readable in any implementation, but a value of 0 can be returned to indicate that the field is not implemented."
0,The Implementation value should reflect the design of the RISC-V processor itself and not any surrounding system.
0,"be printed by standard tools as a hexadecimal string without any leading or trailing zeros, so the Implementation value can be left-justified (i.e., filled in from most-significant nibble down) with subfields aligned on nibble boundaries to ease human readability."
1,The mhartid CSR is an XLEN-bit read-only register containing the integer ID of the hardware thread running the code.
1,This register must be readable in any implementation.
1,"Hart IDs might not necessarily be numbered contiguously in a multiprocessor system, but at least one hart must have a hart ID of zero."
0,"In certain cases, we must ensure exactly one hart runs some code (e.g., at reset), and so require one hart to have a known hart ID of zero."
0," For efficiency, system implementers should aim to reduce the magnitude of the largest hart ID used in a system."
0,The mstatus register is an XLEN-bit read/write register formatted as shown in Figure 3.6 for RV32 and Figure 3.7 for RV64 and RV128.
1,The mstatus register keeps track of and controls the hart's current operating state.
1,Restricted views of the mstatus register appear as the sstatus and ustatus registers in the S-level and U-level ISAs respectively.
0,Figure 3.7: Machine-mode status register (mstatus) for RV64 and RV128.
1,"Interrupt-enable bits, MIE, SIE, and UIE, are provided for each privilege mode."
1,These bits are primarily used to guarantee atomicity with respect to interrupt handlers at the current privilege level.
1,"When a hart is executing in privilege mode x, interrupts are enabled when x IE=1."
1,"Interrupts for lower privilege modes are always disabled, whereas interrupts for higher privilege modes are always enabled."
1,Higher-privilege-level code can use separate per-interrupt enable bits to disable selected interrupts before ceding control to a lower privilege level.
1,"The xIE bits are located in the low-order bits of mstatus, allowing them to be atomically set or cleared with a single CSR instruction."
1,"To support nested traps, each privilege mode x has a two-level stack of interrupt-enable bits and privilege modes."
1,"x PIE holds the value of the interrupt-enable bit active prior to the trap, and"
1,x PP holds the previous privilege mode.
1,"The x PP fields can only hold privilege modes up to x, so MPP is two bits wide, SPP is one bit wide, and UPP is implicitly zero."
1,"When a trap is taken from privilege mode y into privilege mode x, x PIE is set to the value of x IE; x IE is set to 0; and x PP is set to y."
1,"For lower privilege modes, any trap (synchronous or asynchronous) is usually taken at a higher privilege mode with interrupts disabled upon entry."
1,"The higher-level trap handler will either service the trap and return using the stacked information, or, if not returning immediately to the interrupted context, will save the privilege stack before re-enabling interrupts, so only one entry per stack is required."
1,"The MRET, SRET, or URET instructions are used to return from traps in M-mode, S-mode, or U-mode respectively."
1,"When executing an xRET instruction, supposing x PP holds the value y, x IE is set to x PIE; the privilege mode is changed to y; x PIE is set to 1; and x PP is set to U (or M if user-mode is not supported)."
1,"When the stack is popped, the lowest-supported privilege mode with interrupts enabled is added to the bottom of stack to help catch errors that cause invalid entries to be popped off the stack."
1,"User-level interrupts are an optional extension and have been allocated the ISA extension letter N. If user-level interrupts are omitted, the UIE and UPIE bits are hardwired to zero."
1,"For all other supported privilege modes x, the x IE and x PIE must not be hardwired."
1,"User-level interrupts are primarily intended to support secure embedded systems with only Mmode and U-mode present, but can also be supported in systems running Unix-like operating systems to support user-level trap handling."
0,Fields that were previously allocated for H-mode support in mstatus have now been reserved as WPRI fields.
0,"To reduce backwards incompatibility with existing implementations, we did not compact the register after removing these fields."
0,"For RV64 and RV128 systems, the SXL and UXL fields are WARL fields that control the value of XLEN for S-mode and U-mode, respectively."
0,"The encoding of these fields is the same as the MXL field of misa, shown in Table 3.1."
0,"The effective XLEN in S-mode and U-mode are termed S-XLEN and U-XLEN, respectively."
0,"For RV32 systems, the SXL and UXL fields do not exist, and S-XLEN=32 and U-XLEN=32."
0,"For RV64 and RV128 systems, if S-mode is not supported, then SXL is hardwired to zero."
0,"Otherwise, it is a WARL field that encodes the current value of S-XLEN."
0,"In particular, the implementation may hardwire SXL so that S-XLEN=M-XLEN."
1,"For RV64 and RV128 systems, if U-mode is not supported, then UXL is hardwired to zero."
1,"Otherwise, it is a WARL field that encodes the current value of U-XLEN."
1,"In particular, the implementation may hardwire UXL so that U-XLEN=M-XLEN."
1,"Whenever XLEN in any mode is set to a value less than the widest supported XLEN, all operations must ignore source operand register bits above the configured XLEN, and must sign-extend results to fill the entire widest supported XLEN in the destination register."
0,"To reduce hardware complexity, the architecture imposes no checks that lower-privilege modes have XLEN settings less than or equal to the next-higher privilege mode."
0,"In practice, such settings would almost always be an error, but machine operation is well-defined even in this case."
1,The MPRV (Modify PRiVilege) bit modifies the privilege level at which loads and stores execute in all privilege modes.
1,"When MPRV=0, translation and protection behave as normal."
1,"When MPRV=1, load and store memory addresses are translated and protected as though the current privilege mode were set to MPP."
1,Instruction address-translation and protection are unaffected.
1,MPRV is hardwired to 0 if U-mode is not supported.
1,The MXR (Make eXecutable Readable) bit modifies the privilege with which loads access virtual memory.
1,"When MXR=0, only loads from pages marked readable (R=1 in Figure 4.15) will succeed."
1,"When MXR=1, loads from pages marked either readable or executable (R=1 or X=1) will succeed."
1,MXR has no effect when page-based virtual memory is not in effect.
1,MXR is hardwired to 0 if S-mode is not supported.
1,"The MPRV and MXR mechanisms were conceived to improve the efficiency of M-mode routines that emulate missing hardware features, e.g., misaligned loads and stores."
1,MPRV obviates the need to perform address translation in software.
1,MXR allows instruction words to be loaded from pages marked execute-only.
0," For simplicity, MPRV and MXR are in effect regardless of privilege mode, but in normal use will only be enabled for short sequences in machine mode."
0,"The SUM (permit Supervisor User Memory access) bit modifies the privilege with which S-mode loads, stores, and instruction fetches access virtual memory."
1,"When SUM=0, S-mode memory accesses to pages that are accessible by U-mode (U=1 in Figure 4.15) will fault."
1,"When SUM=1, these accesses are permitted."
1,SUM has no effect when page-based virtual memory is not in effect.
1,"Note that, while SUM is ordinarily ignored when not executing in S-mode, it is in effect when MPRV=1 and MPP=S."
1,SUM is hardwired to 0 if S-mode is not supported.
